"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.03.2020","5,2054","4,4954","5,2547","4,4521","","16,36%"
"01.02.2020","4,4735","4,2805","4,5138","4,2081","","4,46%"
"01.01.2020","4,2824","4,0199","4,2904","4,0033","","6,54%"
"01.12.2019","4,0195","4,2366","4,2537","4,0085","","-5,13%"
"01.11.2019","4,2367","4,0175","4,2773","3,9687","","5,43%"
"01.10.2019","4,0184","4,1573","4,1875","3,9638","","-3,30%"
"01.09.2019","4,1556","4,1435","4,1947","4,0265","","0,25%"
"01.08.2019","4,1454","3,8159","4,1951","3,8109","","8,72%"
"01.07.2019","3,8129","3,8375","3,8808","3,7176","","-1,02%"
"01.06.2019","3,8520","3,9227","3,9343","3,8061","","-1,80%"
"01.05.2019","3,9228","3,9204","4,1223","3,9090","","0,03%"
"01.04.2019","3,9215","3,8895","4,0066","3,8148","","-0,08%"
"01.03.2019","3,9247","3,7518","4,0163","3,7387","","4,62%"
"01.02.2019","3,7514","3,6457","3,7954","3,6378","","2,95%"
"01.01.2019","3,6440","3,8784","3,8969","3,6358","","-6,11%"
"01.12.2018","3,8812","3,8670","3,9462","3,8155","","0,37%"
"01.11.2018","3,8669","3,7226","3,9447","3,6794","","3,89%"
"01.10.2018","3,7220","4,0497","4,0630","3,5813","","-8,08%"
"01.09.2018","4,0491","4,0929","4,2117","3,9676","","-0,16%"
"01.08.2018","4,0556","3,7569","4,2159","3,6907","","7,97%"
"01.07.2018","3,7564","3,8784","3,9531","3,6883","","-3,11%"
"01.06.2018","3,8771","3,7253","3,9677","3,6680","","4,13%"
"01.05.2018","3,7235","3,5080","3,7773","3,5079","","6,17%"
"01.04.2018","3,5072","3,3050","3,5159","3,2958","","6,11%"
"01.03.2018","3,3051","3,2463","3,3464","3,2055","","1,81%"
"01.02.2018","3,2462","3,1857","3,3188","3,1616","","1,89%"
"01.01.2018","3,1859","3,3134","3,3134","3,1195","","-3,82%"
"01.12.2017","3,3125","3,2730","3,3479","3,2197","","1,22%"
"01.11.2017","3,2727","3,2725","3,3349","3,2002","","0,00%"
"01.10.2017","3,2728","3,1642","3,3030","3,1221","","3,51%"
"01.09.2017","3,1619","3,1475","3,2005","3,0789","","0,44%"
"01.08.2017","3,1479","3,1271","3,2212","3,1073","","0,69%"
"01.07.2017","3,1264","3,3189","3,3312","3,1102","","-5,47%"
"01.06.2017","3,3072","3,2271","3,3495","3,2149","","2,50%"
"01.05.2017","3,2266","3,1766","3,4095","3,0875","","1,57%"
"01.04.2017","3,1767","3,1235","3,2149","3,0805","","1,71%"
"01.03.2017","3,1233","3,1087","3,1984","3,0595","","0,46%"
"01.02.2017","3,1091","3,1515","3,1633","3,0389","","-1,33%"
"01.01.2017","3,1509","3,2534","3,2923","3,1012","","-3,19%"
"01.12.2016","3,2547","3,3854","3,4938","3,2416","","-3,83%"
"01.11.2016","3,3842","3,1891","3,5086","3,1630","","6,11%"
"01.10.2016","3,1893","3,2631","3,2640","3,1026","","-2,18%"
"01.09.2016","3,2603","3,2265","3,3689","3,1657","","1,03%"
"01.08.2016","3,2272","3,2488","3,2927","3,1128","","-0,66%"
"01.07.2016","3,2486","3,2137","3,3724","3,1969","","1,10%"
"01.06.2016","3,2134","3,6089","3,6361","3,1826","","-11,01%"
"01.05.2016","3,6111","3,4354","3,6761","3,4331","","5,10%"
"01.04.2016","3,4358","3,5901","3,7191","3,4289","","-4,39%"
"01.03.2016","3,5935","4,0167","4,0222","3,5323","","-10,54%"
"01.02.2016","4,0171","3,9992","4,0791","3,8453","","0,46%"
"01.01.2016","3,9988","3,9608","4,1738","3,9590","","0,96%"
"01.12.2015","3,9608","3,8687","4,0424","3,7165","","2,37%"
"01.11.2015","3,8690","3,8562","3,9243","3,6937","","0,33%"
"01.10.2015","3,8564","3,9508","4,0457","3,7227","","-2,35%"
"01.09.2015","3,9491","3,6199","4,2495","3,6195","","9,11%"
"01.08.2015","3,6193","3,4218","3,6838","3,4202","","5,79%"
"01.07.2015","3,4212","3,1030","3,4355","3,0933","","10,25%"
"01.06.2015","3,1030","3,1791","3,2149","3,0302","","-2,42%"
"01.05.2015","3,1798","3,0147","3,1973","2,9709","","5,48%"
"01.04.2015","3,0145","3,1943","3,1943","2,8818","","-5,67%"
"01.03.2015","3,1958","2,8391","3,3173","2,8391","","12,57%"
"01.02.2015","2,8390","2,6824","2,9214","2,6660","","5,84%"
"01.01.2015","2,6824","2,6580","2,7314","2,5499","","0,94%"
"01.12.2014","2,6575","2,5656","2,7605","2,5435","","3,57%"
"01.11.2014","2,5659","2,4787","2,6296","2,4539","","3,53%"
"01.10.2014","2,4783","2,4437","2,5595","2,3560","","1,31%"
"01.09.2014","2,4462","2,2371","2,4791","2,2260","","9,40%"
"01.08.2014","2,2360","2,2630","2,3079","2,2331","","-1,23%"
"01.07.2014","2,2639","2,2148","2,2751","2,1990","","2,24%"
"01.06.2014","2,2143","2,2412","2,2918","2,1871","","-1,18%"
"01.05.2014","2,2408","2,2335","2,2492","2,1994","","0,35%"
"01.04.2014","2,2330","2,2726","2,2893","2,1819","","-1,72%"
"01.03.2014","2,2721","2,3388","2,3768","2,2481","","-2,84%"
"01.02.2014","2,3384","2,4124","2,4402","2,3178","","-3,08%"
"01.01.2014","2,4127","2,3780","2,4506","2,3275","","2,14%"
"01.12.2013","2,3621","2,3363","2,3960","2,3043","","1,13%"
"01.11.2013","2,3358","2,2350","2,3487","2,2350","","4,27%"
"01.10.2013","2,2401","2,2164","2,2417","2,1471","","1,08%"
"01.09.2013","2,2162","2,3827","2,4041","2,1796","","-7,12%"
"01.08.2013","2,3862","2,2765","2,4554","2,2629","","4,79%"
"01.07.2013","2,2771","2,2292","2,3030","2,2067","","2,02%"
"01.06.2013","2,2321","2,1438","2,2775","2,0842","","4,19%"
"01.05.2013","2,1423","2,0015","2,1507","1,9945","","7,02%"
"01.04.2013","2,0017","2,0182","2,0302","1,9637","","-1,11%"
"01.03.2013","2,0242","1,9760","2,0276","1,9412","","2,22%"
"01.02.2013","1,9803","1,9909","1,9975","1,9498","","-0,53%"
"01.01.2013","1,9908","2,0333","2,0507","1,9811","","-2,82%"
"01.12.2012","2,0485","2,1360","2,1392","2,0390","","-4,10%"
"01.11.2012","2,1361","2,0317","2,1377","2,0303","","5,18%"
"01.10.2012","2,0309","2,0286","2,0439","2,0157","","0,26%"
"01.09.2012","2,0257","2,0297","2,0450","2,0060","","-0,18%"
"01.08.2012","2,0293","2,0571","2,0575","2,0060","","-1,33%"
"01.07.2012","2,0567","2,0056","2,0567","1,9779","","2,35%"
"01.06.2012","2,0095","2,0224","2,0991","2,0042","","-0,65%"
"01.05.2012","2,0226","1,9042","2,1065","1,9042","","5,96%"
"01.04.2012","1,9088","1,8266","1,9123","1,8155","","4,51%"
"01.03.2012","1,8264","1,7174","1,8375","1,7098","","6,35%"
"01.02.2012","1,7174","1,7498","1,7498","1,6867","","-1,71%"
"01.01.2012","1,7472","1,8665","1,8754","1,7321","","-6,23%"
"01.12.2011","1,8632","1,8083","1,8884","1,7755","","3,04%"
"01.11.2011","1,8083","1,7172","1,9140","1,7130","","5,31%"
"01.10.2011","1,7172","1,8777","1,9175","1,6711","","-8,61%"
"01.09.2011","1,8790","1,5892","1,9498","1,5886","","18,24%"
"01.08.2011","1,5892","1,5501","1,6585","1,5450","","2,60%"
"01.07.2011","1,5490","1,5621","1,5854","1,5280","","-0,84%"
"01.06.2011","1,5622","1,5788","1,6163","1,5573","","-1,13%"
"01.05.2011","1,5800","1,5770","1,6457","1,5685","","0,16%"
"01.04.2011","1,5775","1,6318","1,6318","1,5565","","-3,34%"
"01.03.2011","1,6320","1,6640","1,6932","1,6205","","-1,91%"
"01.02.2011","1,6638","1,6672","1,6806","1,6553","","-0,22%"
"01.01.2011","1,6675","1,6598","1,6967","1,6433","","0,48%"
"01.12.2010","1,6595","1,7138","1,7220","1,6593","","-3,24%"
"01.11.2010","1,7150","1,7012","1,7428","1,6685","","0,81%"
"01.10.2010","1,7012","1,6876","1,7252","1,6433","","0,81%"
"01.09.2010","1,6876","1,7549","1,7593","1,6855","","-3,84%"
"01.08.2010","1,7550","1,7541","1,7822","1,7431","","0,06%"
"01.07.2010","1,7540","1,8052","1,8138","1,7495","","-2,77%"
"01.06.2010","1,8039","1,8194","1,8824","1,7487","","-0,89%"
"01.05.2010","1,8201","1,7372","1,9160","1,7252","","4,75%"
"01.04.2010","1,7375","1,7832","1,7932","1,7225","","-2,59%"
"01.03.2010","1,7837","1,8058","1,8302","1,7563","","-1,30%"
"01.02.2010","1,8072","1,8685","1,8980","1,7874","","-4,13%"
"01.01.2010","1,8850","1,7291","1,8971","1,7138","","8,15%"
"01.12.2009","1,7430","1,7497","1,8011","1,6995","","-0,71%"
"01.11.2009","1,7555","1,7635","1,7805","1,6930","","-0,45%"
"01.10.2009","1,7635","1,7720","1,8074","1,6970","","-0,45%"
"01.09.2009","1,7715","1,8790","1,9217","1,7588","","-5,78%"
"01.08.2009","1,8802","1,8655","1,9052","1,8071","","0,82%"
"01.07.2009","1,8650","1,9525","2,0280","1,8610","","-4,48%"
"01.06.2009","1,9525","1,9715","2,0383","1,9083","","-0,96%"
"01.05.2009","1,9715","2,1898","2,1898","1,9650","","-9,97%"
"01.04.2009","2,1898","2,3170","2,3175","2,1585","","-5,49%"
"01.03.2009","2,3169","2,3905","2,4505","2,2150","","-3,12%"
"01.02.2009","2,3914","2,3222","2,4085","2,2277","","3,08%"
"01.01.2009","2,3200","2,3317","2,4010","2,1585","","0,24%"
"01.12.2008","2,3145","2,3045","2,6218","2,2834","","0,48%"
"01.11.2008","2,3034","2,1647","2,4787","2,0877","","6,43%"
"01.10.2008","2,1642","1,9035","2,5305","1,8951","","13,51%"
"01.09.2008","1,9066","1,6422","1,9687","1,6398","","16,97%"
"01.08.2008","1,6300","1,5610","1,6493","1,5551","","4,02%"
"01.07.2008","1,5670","1,6039","1,6211","1,5604","","-2,31%"
"01.06.2008","1,6041","1,6260","1,6522","1,5880","","-1,38%"
"01.05.2008","1,6265","1,6617","1,7055","1,6241","","-2,15%"
"01.04.2008","1,6622","1,7559","1,7605","1,6471","","-5,36%"
"01.03.2008","1,7564","1,6910","1,7651","1,6590","","3,84%"
"01.02.2008","1,6914","1,7590","1,7820","1,6612","","-3,83%"
"01.01.2008","1,7588","1,7795","1,8407","1,7285","","-1,19%"
"01.12.2007","1,7800","1,7901","1,8320","1,7500","","-1,01%"
"01.11.2007","1,7982","1,7368","1,8723","1,7247","","3,54%"
"01.10.2007","1,7368","1,8325","1,8480","1,7292","","-5,25%"
"01.09.2007","1,8330","1,9610","1,9765","1,8300","","-6,86%"
"01.08.2007","1,9681","1,8823","2,1396","1,8655","","4,57%"
"01.07.2007","1,8820","1,9260","1,9440","1,8365","","-2,44%"
"01.06.2007","1,9290","1,9287","1,9910","1,8945","","0,44%"
"01.05.2007","1,9205","2,0350","2,0365","1,9165","","-5,62%"
"01.04.2007","2,0348","2,0600","2,0600","2,0130","","-1,18%"
"01.03.2007","2,0590","2,1175","2,1520","2,0247","","-2,90%"
"01.02.2007","2,1204","2,1238","2,1500","2,0638","","-0,17%"
"01.01.2007","2,1240","2,1367","2,1627","2,1212","","-0,59%"
"01.12.2006","2,1365","2,1645","2,1745","2,1302","","-1,32%"
"01.11.2006","2,1650","2,1430","2,2040","2,1307","","1,04%"
"01.10.2006","2,1428","2,1680","2,1800","2,1220","","-1,45%"
"01.09.2006","2,1743","2,1520","2,2370","2,1217","","1,44%"
"01.08.2006","2,1434","2,1756","2,1985","2,1215","","-1,57%"
"01.07.2006","2,1775","2,1605","2,2256","2,1545","","0,54%"
"01.06.2006","2,1659","2,3215","2,3355","2,1535","","-6,04%"
"01.05.2006","2,3051","2,0870","2,4045","2,0500","","10,45%"
"01.04.2006","2,0870","2,1658","2,1765","2,0830","","-3,56%"
"01.03.2006","2,1640","2,1315","2,2458","2,0965","","1,91%"
"01.02.2006","2,1235","2,2120","2,2405","2,1015","","-4,00%"
"01.01.2006","2,2120","2,3335","2,3540","2,1960","","-5,40%"
"01.12.2005","2,3383","2,2039","2,4005","2,1585","","6,12%"
"01.11.2005","2,2035","2,2505","2,2685","2,1525","","-2,14%"
"01.10.2005","2,2518","2,2355","2,3045","2,2215","","1,09%"
"01.09.2005","2,2275","2,3550","2,3735","2,2060","","-5,43%"
"01.08.2005","2,3555","2,3850","2,4590","2,2629","","-1,03%"
"01.07.2005","2,3800","2,3364","2,5127","2,3210","","1,87%"
"01.06.2005","2,3364","2,3992","2,5060","2,3310","","-3,03%"
"01.05.2005","2,4095","2,5282","2,5300","2,3630","","-4,70%"
"01.04.2005","2,5282","2,6660","2,6775","2,5060","","-5,66%"
"01.03.2005","2,6800","2,5980","2,7858","2,5870","","3,49%"
"01.02.2005","2,5895","2,6085","2,6525","2,5490","","-0,74%"
"01.01.2005","2,6088","2,6610","2,7340","2,6055","","-1,78%"
"01.12.2004","2,6560","2,7170","2,8050","2,6460","","-2,35%"
"01.11.2004","2,7200","2,8580","2,8730","2,7140","","-4,87%"
"01.10.2004","2,8592","2,8600","2,8950","2,8050","","-0,01%"
"01.09.2004","2,8595","2,9295","2,9435","2,8465","","-2,31%"
"01.08.2004","2,9270","3,0360","3,0780","2,9220","","-3,64%"
"01.07.2004","3,0375","3,0865","3,0875","2,9885","","-1,57%"
"01.06.2004","3,0860","3,1850","3,1710","3,0860","","-3,23%"
"01.05.2004","3,1890","2,9330","3,2340","2,9420","","8,80%"
"01.04.2004","2,9310","2,8920","2,9690","2,8670","","1,21%"
"01.03.2004","2,8960","2,9020","2,9470","2,8580","","-0,34%"
"01.02.2004","2,9060","2,9270","3,0110","2,8950","","-0,97%"
"01.01.2004","2,9345","2,8975","2,9730","2,7665","","1,49%"
"01.12.2003","2,8915","2,9425","2,9525","2,8525","","-1,87%"
"01.11.2003","2,9465","2,8675","2,9725","2,8445","","2,79%"
"01.10.2003","2,8665","2,8915","2,9195","2,8155","","-0,90%"
"01.09.2003","2,8925","2,9815","3,0005","2,8615","","-2,89%"
"01.08.2003","2,9785","2,9625","3,0695","2,9355","","0,37%"
"01.07.2003","2,9675","2,8415","2,9875","2,8025","","4,60%"
"01.06.2003","2,8370","2,9650","2,9940","2,8000","","-4,59%"
"01.05.2003","2,9735","2,9115","3,0875","2,8435","","2,15%"
"01.04.2003","2,9110","3,3650","3,3650","2,8710","","-13,47%"
"01.03.2003","3,3640","3,5660","3,5850","3,3230","","-5,77%"
"01.02.2003","3,5700","3,5020","3,6830","3,4500","","1,88%"
"01.01.2003","3,5040","3,5380","3,6910","3,2380","","-1,02%"
"01.12.2002","3,5400","3,5550","3,8260","3,4050","","-3,09%"
"01.11.2002","3,6530","3,6200","3,7330","3,4650","","0,08%"
"01.10.2002","3,6500","3,7440","4,0190","3,5190","","-2,93%"
"01.09.2002","3,7600","3,0100","3,9540","3,0050","","25,02%"
"01.08.2002","3,0075","3,4525","3,4525","2,8525","","-13,08%"
"01.07.2002","3,4600","2,8380","3,6260","2,8100","","22,80%"
"01.06.2002","2,8175","2,5195","2,8915","2,5125","","11,89%"
"01.05.2002","2,5180","2,3610","2,5520","2,3610","","6,65%"
"01.04.2002","2,3610","2,3260","2,3770","2,2520","","1,55%"
"01.03.2002","2,3250","2,3640","2,3860","2,3140","","-1,69%"
"01.02.2002","2,3650","2,4120","2,4930","2,3360","","-1,99%"
"01.01.2002","2,4130","2,3110","2,4700","2,2770","","4,41%"
"01.12.2001","2,3110","2,4940","2,4960","2,2740","","-7,37%"
"01.11.2001","2,4950","2,6720","2,6720","2,4480","","-7,46%"
"01.10.2001","2,6960","2,6940","2,8070","2,6590","","0,97%"
"01.09.2001","2,6700","2,5653","2,8400","2,5480","","4,13%"
"01.08.2001","2,5640","2,4790","2,5830","2,4380","","3,68%"
"01.07.2001","2,4730","2,3180","2,6080","2,3090","","7,03%"
"01.06.2001","2,3105","2,3795","2,4845","2,2665","","-2,96%"
"01.05.2001","2,3810","2,2000","2,3860","2,1920","","8,18%"
"01.04.2001","2,2010","2,1520","2,3110","2,1320","","2,23%"
"01.03.2001","2,1530","2,0470","2,1780","2,0150","","5,21%"
"01.02.2001","2,0463","1,9708","2,0507","1,9708","","3,82%"
"01.01.2001","1,9710","1,9508","1,9810","1,9300","","1,08%"
"01.12.2000","1,9500","1,9800","1,9900","1,9490","","-1,49%"
"01.11.2000","1,9795","1,8995","1,9845","1,8925","","4,18%"
"01.10.2000","1,9000","1,8430","1,9460","1,8410","","3,06%"
"01.09.2000","1,8435","1,8235","1,8645","1,8145","","1,10%"
"01.08.2000","1,8235","1,7745","1,8375","1,7745","","2,24%"
"01.07.2000","1,7835","1,8025","1,8275","1,7685","","-1,30%"
"01.06.2000","1,8070","1,8240","1,8300","1,7840","","-0,93%"
"01.05.2000","1,8240","1,7990","1,8600","1,7960","","1,05%"
"01.04.2000","1,8050","1,7360","1,8170","1,7360","","3,77%"
"01.03.2000","1,7395","1,7675","1,7695","1,7085","","-1,61%"
"01.02.2000","1,7680","1,7840","1,7990","1,7560","","-0,90%"
"01.01.2000","1,7840","1,8010","1,8700","1,7610","","-1,19%"
"01.12.1999","1,8055","1,9235","1,9235","1,7795","","-6,11%"
"01.11.1999","1,9230","1,9480","1,9510","1,9100","","-1,28%"
"01.10.1999","1,9480","1,9370","2,0090","1,9240","","0,57%"
"01.09.1999","1,9370","1,9180","1,9490","1,8560","","0,99%"
"01.08.1999","1,9180","1,7960","1,9910","1,7960","","6,38%"
"01.07.1999","1,8030","1,7530","1,8620","1,7460","","2,85%"
"01.06.1999","1,7530","1,7200","1,8150","1,7200","","1,92%"
"01.05.1999","1,7200","1,6660","1,7570","1,6430","","3,27%"
"01.04.1999","1,6655","1,7165","1,7415","1,6315","","-3,03%"
"01.03.1999","1,7175","1,9725","2,2025","1,7125","","-15,60%"
"01.02.1999","2,0350","2,0750","2,0850","1,7250","","-2,40%"
"01.01.1999","2,0850","1,2230","2,1450","1,2217","","72,56%"
"01.12.1998","1,2083","1,2010","1,2090","1,2003","","0,57%"
"01.11.1998","1,2015","1,1930","1,2016","1,1875","","0,71%"
"01.10.1998","1,1930","1,1846","1,1930","1,1759","","0,73%"
"01.09.1998","1,1843","1,1770","1,2003","1,1758","","0,64%"
"01.08.1998","1,1768","1,1637","1,1772","1,1637","","1,20%"
"01.07.1998","1,1629","1,1568","1,1665","1,1566","","0,54%"
"01.06.1998","1,1566","1,1515","1,1620","1,1505","","0,53%"
"01.05.1998","1,1505","1,1439","1,1551","1,1435","","0,61%"
"01.04.1998","1,1435","1,1372","1,1465","1,1370","","0,57%"
"01.03.1998","1,1370","1,1301","1,1370","1,1300","","0,62%"
"01.02.1998","1,1300","1,1234","1,1302","1,1230","","0,61%"
"01.01.1998","1,1231","1,1160","1,1237","1,1157","","0,64%"
"01.12.1997","1,1160","1,1096","1,1170","1,1088","","0,63%"
"01.11.1997","1,1090","1,1025","1,1109","1,1023","","0,58%"
"01.10.1997","1,1026","1,0959","1,1074","1,0959","","0,60%"
"01.09.1997","1,0960","1,0916","1,0961","1,0900","","0,39%"
"01.08.1997","1,0917","1,0831","1,0934","1,0831","","0,81%"
"01.07.1997","1,0829","1,0764","1,0833","1,0764","","0,59%"
"01.06.1997","1,0765","1,0703","1,0783","1,0703","","0,58%"
"01.05.1997","1,0703","1,0636","1,0741","1,0636","","0,64%"
"01.04.1997","1,0635","1,0606","1,0635","1,0575","","0,25%"
"01.03.1997","1,0608","1,0511","1,0617","1,0511","","0,93%"
"01.02.1997","1,0510","1,0457","1,0519","1,0406","","0,51%"
"01.01.1997","1,0457","1,0390","1,0463","1,0325","","0,64%"
"01.12.1996","1,0391","1,0328","1,0418","1,0326","","0,62%"
"01.11.1996","1,0327","1,0274","1,0333","1,0273","","0,51%"
"01.10.1996","1,0275","1,0212","1,0293","1,0210","","0,62%"
"01.09.1996","1,0212","1,0165","1,0212","1,0161","","0,46%"
"01.08.1996","1,0165","1,0142","1,0170","1,0087","","0,22%"
"01.07.1996","1,0143","1,0042","1,0166","1,0042","","1,01%"
"01.06.1996","1,0042","0,9984","1,0044","0,9974","","0,59%"
"01.05.1996","0,9983","0,9923","1,0002","0,9922","","0,64%"
"01.04.1996","0,9920","0,9877","0,9934","0,9865","","0,44%"
"01.03.1996","0,9877","0,9845","0,9898","0,9823","","0,33%"
"01.02.1996","0,9845","0,9781","0,9871","0,9780","","0,66%"
"01.01.1996","0,9780","0,9720","0,9790","0,9719","","0,63%"
"01.12.1995","0,9719","0,9662","0,9726","0,9661","","0,61%"
"01.11.1995","0,9660","0,9614","0,9660","0,9607","","0,47%"
"01.10.1995","0,9615","0,9531","0,9629","0,9530","","0,90%"
"01.09.1995","0,9529","0,9490","0,9555","0,9477","","0,39%"
"01.08.1995","0,9492","0,9348","0,9512","0,9303","","1,51%"
"01.07.1995","0,9351","0,9191","0,9371","0,9171","","1,72%"
"01.06.1995","0,9193","0,9052","0,9263","0,9002","","1,52%"
"01.05.1995","0,9055","0,9175","0,9175","0,8865","","-1,31%"
"01.04.1995","0,9175","0,8995","0,9225","0,8905","","1,94%"
"01.03.1995","0,9000","0,8510","0,9210","0,8460","","5,82%"
"01.02.1995","0,8505","0,8415","0,8535","0,8335","","1,19%"
"01.01.1995","0,8405","0,8415","0,8560","0,8375","","-0,77%"
"01.12.1994","0,8470","0,8490","0,8670","0,8410","","-0,18%"
"01.11.1994","0,8485","0,8445","0,8675","0,8285","","0,47%"
"01.10.1994","0,8445","0,8525","0,8645","0,8225","","-1,00%"
"01.09.1994","0,8530","0,8850","0,8970","0,8490","","-3,72%"
"01.08.1994","0,8860","0,9390","0,9390","0,8830","","-5,39%"
"01.07.1994","0,9365","0,9355","0,9455","0,9005","","-2,70%"
"01.06.1994","0,9625","0,7571","0,9625","0,6938","","41,15%"
"01.05.1994","0,6819","0,5220","0,6819","0,4813","","43,98%"
"01.04.1994","0,4736","0,3653","0,4736","0,3385","","42,61%"
"01.03.1994","0,3321","0,2317","0,3321","0,2352","","43,33%"
"01.02.1994","0,2317","0,1973","0,2319","0,1699","","38,91%"
"01.01.1994","0,1668","0,1204","0,1668","0,1204","","42,93%"
"01.12.1993","0,1167","0,1167","0,1167","0,0870","","36,01%"
"01.11.1993","0,0858","0,0652","0,0858","0,0642","","35,55%"
"01.10.1993","0,0633","0,0518","0,0633","0,0473","","35,84%"
"01.09.1993","0,0466","0,0380","0,0466","0,0349","","35,47%"
"01.08.1993","0,0344","0,0265","0,0344","0,0262","","32,82%"
"01.07.1993","0,0259","0,0198","0,0259","0,0198","","30,81%"
"01.06.1993","0,0198","0,0154","0,0198","0,0154","","30,26%"
"01.05.1993","0,0152","0,0123","0,0152","0,0119","","29,91%"
"01.04.1993","0,0117","0,0106","0,0125","0,0101","","15,84%"
"01.03.1993","0,0101","0,0086","0,0101","0,0079","","29,49%"
"01.02.1993","0,0078","0,0063","0,0078","0,0061","","32,20%"
"01.01.1993","0,0059","0,0051","0,0060","0,0051","","11,32%"
"01.12.1992","0,0053","0,0043","0,0053","0,0040","","35,90%"
"01.11.1992","0,0039","0,0033","0,0039","0,0030","","30,00%"
"01.10.1992","0,0030","0,0030","0,0031","0,0026","","15,38%"
"01.09.1992","0,0026","0,0027","0,0027","0,0021","","30,00%"
"01.08.1992","0,0020","0,0020","0,0021","0,0017","","17,65%"
"01.07.1992","0,0017","0,0016","0,0017","0,0014","","30,77%"
"01.06.1992","0,0013","0,0013","0,0013","0,0011","","18,18%"
"01.05.1992","0,0011","0,0011","0,0011","0,0009","","22,22%"
"01.04.1992","0,0009","0,0009","0,0009","0,0007","","28,57%"
"01.03.1992","0,0007","0,0007","0,0007","0,0006","","16,67%"
"01.02.1992","0,0006","0,0006","0,0006","0,0005","","20,00%"
"01.01.1992","0,0005","0,0005","0,0005","0,0004","","25,00%"
"01.12.1991","0,0004","0,0004","0,0004","0,0003","","33,33%"
"01.11.1991","0,0003","0,0003","0,0003","0,0003","","0,00%"
"01.10.1991","0,0003","0,0003","0,0003","0,0002","","50,00%"
"01.09.1991","0,0002","0,0002","0,0002","0,0002","","0,00%"
"01.08.1991","0,0002","0,0002","0,0002","0,0001","","100,00%"
"01.07.1991","0,0001","0,0001","0,0001","0,0001","","0,00%"
"01.06.1991","0,0001","0,0001","0,0001","0,0001","","0,00%"
"01.05.1991","0,0001","0,0001","0,0001","0,0001","","0,00%"
"01.04.1991","0,0001","0,0001","0,0001","0,0001","","0,00%"
"01.03.1991","0,0001","0,0001","0,0001","0,0001","","0,00%"
"01.02.1991","0,0001","0,0001","0,0001","0,0001","","0,00%"
